filename,time,day
1,22:04:32,05/06/2025
2,22:04:36,05/06/2025
3,22:04:38,05/06/2025
4,19:27:48,27/12/2025
5,19:27:55,27/12/2025
6,19:27:58,27/12/2025
7,19:46:59,27/12/2025
8,19:48:57,27/12/2025
9,19:50:37,27/12/2025
10,19:53:17,27/12/2025
11,19:54:14,27/12/2025
12,19:55:08,27/12/2025
13,20:02:02,27/12/2025
14,20:09:23,27/12/2025
15,20:10:47,27/12/2025
16,20:12:34,27/12/2025
17,20:13:12,27/12/2025
18,20:14:49,27/12/2025
19,20:18:42,27/12/2025
20,20:19:53,27/12/2025
21,20:20:18,27/12/2025
22,20:20:23,27/12/2025
23,22:00:58,27/12/2025
24,22:08:35,27/12/2025
